관리번호,제목,소관부서,시행일,시행여부,첨부파일명,첨부파일링크,담당부서,담당팀,담당자,자료문의,상세본문내용
감2021-41001,간편심사보험 보험금 지급시 유의사항 안내,보험감독국,20210128,폐지,붙임_간편심사보험 보험금 지급관련 유의사항.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2150582_20210127164723015_0.hwp&filere=%EB%B6%99%EC%9E%84_%EA%B0%84%ED%8E%B8%EC%8B%AC%EC%82%AC%EB%B3%B4%ED%97%98+%EB%B3%B4%ED%97%98%EA%B8%88+%EC%A7%80%EA%B8%89%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD.hwp,보험감독국,특수보험2팀,최영석 팀장,02-3145-7464,"1. 관련근거 -금융규제 운영규정 제16조

2.  보험업법 제127조의3(기초서류 기재사항 준수의무) 등에 따라  붙임을 참고하여 보험금 지급 업무시 유의하여 주시기 바랍니다.


                             - 아 래 -

- [관리번호] 감2021-41001
- [지도목적] 간편심사보험 보험금 지급시 유의사항 안내
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 보험업법 제127조의3
- [내부경영사항 관련] 해당 없음

붙임 : 간편심사보험 보험금 지급시 유의사항 안내 1부. 끝.


- [폐지일자] 2024.08.30
- [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2021-41002,간편심사보험 및 비통계요율 운영시 유의사항 안내,보험감독국,20210128,폐지,210114_간편심사보험 등 감독행정_F.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2200051_20211108135452482_0.hwp&filere=210114_%EA%B0%84%ED%8E%B8%EC%8B%AC%EC%82%AC%EB%B3%B4%ED%97%98+%EB%93%B1+%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95_F.hwp,보험감독국,특수보험2팀,최영석 팀장,02-3145-7464,"1. 관련근거 -금융규제 운영규정 제16조

2. 보험업법제128조의3(기초서류 작성ㆍ변경 원칙) 및 동 법 제129조(보험요율 산출의 원칙) 등에 따라  붙임을 참고하여 기초서류 작성 및 보험요율 산출 업무시 유의하여 주시기 바랍니다.


                             - 아 래 -

- [관리번호] 감2021-41002
- [지도목적] 간편심사보험 및 비통계요율 운영시 유의사항 안내
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 보험업법 제128조의3, 동 법 제129조
- [내부경영사항 관련] 해당 없음

붙임 : 1. 간편심사보험 대기기간 운영관련 유의사항 안내 1부
         2. 비통계요율 운영관련 유의사항 안내 1부. 끝.


- [폐지일자] 2024.08.30
- [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2020-41006,예정손해조사비 산출관련 유의사항 안내,보험감독국,20201105,폐지,붙임_예정손해조사비 산출 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2150582_20201105104545808_0.hwp&filere=%EB%B6%99%EC%9E%84_%EC%98%88%EC%A0%95%EC%86%90%ED%95%B4%EC%A1%B0%EC%82%AC%EB%B9%84+%EC%82%B0%EC%B6%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,특수보험2팀,이강현 수석조사역,02-3145-7465,"1. 관련근거 -금융규제 운영규정 제16조

2. 「보험업법」 제129조(보험요율의 산출원칙)  등에 따라 예정손해조사비 산출과 관련 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.


                             - 아 래 -

- [관리번호] 감2020-41006
- [지도목적] 예정손해조사비 산출관련 유의사항 안내
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 보험업법 제129조
- [내부경영사항 관련] 해당 없음

붙임 : 예정손해조사비 산출관련 유의사항 안내 1부. 끝.


- [폐지일자] 2024.08.30
- [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2020-41005,보험상품명 작성 관련 유의사항 안내,보험감독국,20200907,폐지,20200907_보험상품명 작성 관련 유의사항 안내_감독행정실시_FF.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2080170_20200907100321043_0.hwp&filere=20200907_%EB%B3%B4%ED%97%98%EC%83%81%ED%92%88%EB%AA%85+%EC%9E%91%EC%84%B1+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4_%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95%EC%8B%A4%EC%8B%9C_FF.hwp,보험감독국,특수보험2팀,심재민 선임조사역,02-3145-7468,"1. 관련근거 - 「금융규제 운영규정」 제16조 등

           2.「보험업감독업무시행세칙」제5-19조 및 <별표18> 보험상품심사기준 등에 의거 보험상품명 작성 관련 유의사항을 송부하오니 관련 업무 수행에 만전을 기하여 주시기 바랍니다. 끝.


                                 - 아  래 -
          
             [관리번호] 감2020-41005
             [지도목적] 보험상품명 작성 관련 유의사항 안내
             [지도내용] 붙임 참조
             [유효기간] 해당사항 없음
             [관련법령] 보험업감독업무시행세칙 제5-19조 및 <별표18> 보험상품심사기준
             [내부경영사항 관련] 해당없음

             [폐지일자] 2024.08.30
             [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2017-31003,부동산·특별자산펀드 등 자문수수료 지급 관련 내부통제 보완 필요사항 통보,자산운용감독국,20170718,폐지,(붙임) 자문계약 관련 내부통제 보완 필요사항F.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2160288_20170718111343104_0.hwp&filere=%28%EB%B6%99%EC%9E%84%29+%EC%9E%90%EB%AC%B8%EA%B3%84%EC%95%BD+%EA%B4%80%EB%A0%A8+%EB%82%B4%EB%B6%80%ED%86%B5%EC%A0%9C+%EB%B3%B4%EC%99%84+%ED%95%84%EC%9A%94%EC%82%AC%ED%95%ADF.hwp,자산운용감독국,자산운용감독국 자산운용총괄팀,박윤나 선임조사역,02-3145-6720,"1. 관련근거 - 금융규제 운영규정 제16조

          2. 자산운용사는 「자본시장과 금융투자업에 관한 법률」 제79조제1항 및 제2항에 따라 투자자에 대하여 선량한 관리자의 주의로써 집합투자재산을 운용하고, 투자자의 이익을 보호하기 위하여 업무를 충실하게 수행하여야 할 의무가 있습니다. 또한, 「금융회사의 지배구조에 관한 법률」 제24조 및 동법 시행령 제19조제7항에 따라 임직원의 금융관계법령 위반행위 등을 방지하기 위한 절차나 기준을 내부통제기준에 마련하여야합니다.

          3. 우리원이 자산운용사의 부동산펀드의 자문수수료 지급실태를 전수 점검한 결과, 자문계약의 적정성 검토, 내부 승인절차 및 증빙구비 등 관련 내부통제가 미흡한 사례가 다수 발견되었습니다.

          4. 이에 부동산펀드 등 자문계약 관련 내부통제 보완 필요사항을 통보하오니 ‘붙임’을 참고하여 자문계약 체결 및 자문수수료 지급 관련 내부통제기준을 구체적으로 마련함으로써 펀드운용의 투명성이 제고될 수 있도록 만전을 기하여 주시기 바랍니다.


붙임 : 부동산펀드 등 자문수수료 지급 관련 내부통제 보완 필요사항 1부. 끝.


- [관리번호] 감2017-31003
- [지도목적] 부동산펀드 등 자문수수료 지급 관련 내부통제 보완 
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 자본시장과 금융투자업에 관한 법률, 금융회사의 지배구조에 관한 법률
- [내부경영사항 관련] 해당 없음"
감2020-41003,한국표준질병·사인분류(KCD) 적용 및 보험금 지급시 유의사항 안내,보험감독국,20200121,폐지,한국표준질병·사인분류(KCD) 적용 및 보험금 지급시 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2131226_20200121175111106_0.hwp&filere=%ED%95%9C%EA%B5%AD%ED%91%9C%EC%A4%80%EC%A7%88%EB%B3%91%C2%B7%EC%82%AC%EC%9D%B8%EB%B6%84%EB%A5%98%28KCD%29+%EC%A0%81%EC%9A%A9+%EB%B0%8F+%EB%B3%B4%ED%97%98%EA%B8%88+%EC%A7%80%EA%B8%89%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,특수보험2팀,최영석 팀장,02-3145-7464,"1. 관련근거 - 「금융규제 운영규정」 제16조

             2.「보험업법」제127조의3(기초서류 기재사항 준수의무) 등에 따라 한국표준질병˙사인분류(KCD) 적용 보험상품에 대한 보험금 지급 업무 수행에 만전을 기하여 주시기 바랍니다.

                                 - 아  래 -
          
             [관리번호] 감2020-41003
             [지도목적] 한국표준질병˙사인분류(KCD) 적용 및 보험금 지급 철저
             [지도내용] 붙임 참조
             [유효기간] 해당사항 없음
             [관련법령] 보험업법 제127조의3
             [내부경영사항 관련] 해당없음

붙임 : 한국표준질병·사인분류(KCD) 적용 및 보험금 지급시 유의사항 안내 1부. 끝.


             [폐지일자] 2024.08.30
             [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2019-11003,사기이용계좌 명의인 정보공유 확대 실시,불법금융대응단,20191126,폐지,,,불법금융대응단,불법금융대응단 금융사기대응팀,구소원 검사역,02-3145-8123,"1. 관련근거
  - 「금융규제 운영규정」 제16조

2. 전기통신금융사기 방지대책 협의회('18.12.18.)시 상습 사기이용계좌 명의인에 대한 정보공유 강화 필요성이 제기된 바 있습니다.

3. 이와 관련하여 동 협의회에서 마련한 「전기통신금융사기 방지 종합대책」에 따라 계좌 개설 등 금융거래시 참고·활용할 수 있도록 사기이용계좌 명의인 정보를 은행연합회 등을 통해 3년간 금융권내 공유할 수 있도록 적극 협조하여 주시기 바랍니다.

     - 아  래 -

   - [관리번호] 감2019-11003
   - [지도목적] 전기통신금융사기 피해방지
   - [관련법령] 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제2조의2 제1항?제2항, 제15조제1항 및동법 시행령 제2조의2
   - [내부경영사항 관련] 해당 없음"
감2019-41008,보험사기로 할증된 자동차보험료 환급업무 관련 유의사항 송부,보험사기대응단,20191107,폐지,공문_보험사기로 할증된 자동차보험료 환급업무 관련 유의사항 송부_Body.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2220753_20220427172134426_0.hwp&filere=%EA%B3%B5%EB%AC%B8_%EB%B3%B4%ED%97%98%EC%82%AC%EA%B8%B0%EB%A1%9C+%ED%95%A0%EC%A6%9D%EB%90%9C+%EC%9E%90%EB%8F%99%EC%B0%A8%EB%B3%B4%ED%97%98%EB%A3%8C+%ED%99%98%EA%B8%89%EC%97%85%EB%AC%B4+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%86%A1%EB%B6%80_Body.hwp,보험사기대응단,특별조사팀,고기혁 검사역,02-3145-8735,"1. 귀 사의 무궁한 발전을 기원합니다.

          2. 우리원이 보험사기로 할증된 보험료 환급 T/F를 운영한 결과, 판결문 등을 통해 고의사고 등 자동차 보험사기 피해자임이 확인된 사고 중 일부가 보험개발원에 통보되지 않아 보험료 환급이 누락된 사례가 확인되었습니다.

          3. 이에, 보험사기 피해자 구제를 위해 보험사기 판결 등으로 피보험자의 요율 정정요인이 발생한 경우 이를 반영하여 적정한 보험요율이 적용될 수 있도록 각 보험회사는 보험개발원에 보험사기 사고정보를 적시 통보하는 등 관련 업무수행에 보다 주의를 기울여 주시기 바랍니다.  끝.


            - 아 래 -            

  - [관리번호]  감2019-41008
  - [감독행정목적] 자동차 보험료 환급업무 관련 유의사항
  - [감독행정내용] 붙임 참조
  - [관련법령]  보험업법 제127조의3, 제129조, 제176조
  - [내부경영사항 관련] 해당 없음

    [폐지일자] 2024.08.14
    
    [폐지사유] 「보험사기방지특별법」이 개정(제7조의2, 2024.08.14. 시행)됨에 따른 근거규정 삭제."
감2019-41006,고지의무 위반으로 인한 해지통지 관련 유의사항 안내,보험감독국,20191101,폐지,붙임_고지의무 위반으로 인한 해지통지 관련 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2180391_20191101152903760_0.hwp&filere=%EB%B6%99%EC%9E%84_%EA%B3%A0%EC%A7%80%EC%9D%98%EB%AC%B4+%EC%9C%84%EB%B0%98%EC%9C%BC%EB%A1%9C+%EC%9D%B8%ED%95%9C+%ED%95%B4%EC%A7%80%ED%86%B5%EC%A7%80+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,특수보험2팀,이강현 수석조사역,02-3145-7465,"1. 관련근거 -금융규제 운영규정 제16조

2. 「보험업법」 제127조의3(기초서류 기재사항 준수의무)에 따라 고지의무 위반으로 인한 해지통지와 관련하여 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.


                             - 아 래 -

- [관리번호] 감2019-41006
- [지도목적] 고지의무 위반으로 인한 해지통지 관련 유의사항 안내
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 보험업법 제127조의3
- [내부경영사항 관련] 해당 없음

붙임 : 고지의무 위반으로 인한 해지통지 관련 유의사항 안내 1부. 끝.


- [폐지일자] 2024.08.30
- [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2020-41004,사행성 면책자에 대한 인수심사 강화 안내,보험사기대응단,20190807,폐지,사행성 면책자에 대한 인수심사 강화 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2000688_20200302095055979_0.hwp&filere=%EC%82%AC%ED%96%89%EC%84%B1+%EB%A9%B4%EC%B1%85%EC%9E%90%EC%97%90+%EB%8C%80%ED%95%9C+%EC%9D%B8%EC%88%98%EC%8B%AC%EC%82%AC+%EA%B0%95%ED%99%94+%EC%95%88%EB%82%B4.hwp,보험사기대응단,보험조사팀,이건우 수석검사역,02-3145-8741,"1. 귀 사의 무궁한 발전을 기원합니다.

          2. 최근 우리원이 치매보험 및 소액암 분석결과, 중복·고액 가입계약이 많아 사행성 면책자(보험사기 적발자)의 경우 보험가입시 엄격한 인수심사기준를 적용할 필요가 있는 것으로 확인됩니다. 따라서, 준법감시인은 귀사가 제출한 자료(보험사기 적발자 등의 보험가입 내역, CPC 요청일자 2019.7.1.)를 검증하여 적의 수정하시기 바랍니다. 

          3. 또한, 귀사는 한국신용정보원의「보험신용정보관리규약」에 따라 사행성 면책 정보를 누락 없이 전송하고, 인수심사 단계에서 동 보험사기 정보를 활용할 수 있도록 전산시스템에 반영하는 등 인수심사 절차를 강화하여 주시기 바랍니다. 끝.


            - 아 래 -    

  - [관리번호]  감2020-41004
  - [감독행정목적] 사행성 면책자에 대한 인수심사 강화
  - [감독행정내용] 붙임 참조
  - [관련법령]  금융회사 지배구조 감독규정 별표3(내부통제기준에 포함해야 하는 사항) 2. 해당 금융회사가 보험회사인 경우 라. 보험사기행위 예방 및 보험리스크 관리를 위해 계약심사시 따라야 할 절차와 기준
  - [내부경영사항 관련] 해당 없음

[폐지일자] 2024.05.10
[폐지사유] 「보험사기예방모범규준」에 반영(제10조, 2021.11.01.)되어 감독행정 유지 불필요.  끝."
감2019-41004,보험요율 산출 및 기초서류 작성관련 유의사항 안내,보험감독국,20190726,폐지,붙임_보험요율 산출 및 기초서류 작성관련 유의사항 안내(감독행정).hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2150582_20190725172745301_0.hwp&filere=%EB%B6%99%EC%9E%84_%EB%B3%B4%ED%97%98%EC%9A%94%EC%9C%A8+%EC%82%B0%EC%B6%9C+%EB%B0%8F+%EA%B8%B0%EC%B4%88%EC%84%9C%EB%A5%98+%EC%9E%91%EC%84%B1%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4%28%EA%B0%90%EB%8F%85%ED%96%89%EC%A0%95%29.hwp,보험감독국,특수보험2팀,이강현 수석조사역,02-3145-7465,"1. 관련근거 -금융규제 운영규정 제16조

2. 「보험업법」 제129조(보험요율 산출원칙) 및 제128조의3(기초서류 작성변경원칙) 등에 따라 보험요율 산출 및 기초서류 작성과 관련 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.


                             - 아 래 -

- [관리번호] 감2019-41004
- [지도목적] 보험요율 산출 및 기초서류 작성관련 유의사항 안내
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 보험업법 제129, 제128조의3
- [내부경영사항 관련] 해당 없음

붙임 : 보험요율 산출 및 기초서류 작성관련 유의사항 안내 1부. 끝.


- [폐지일자] 2024.08.30
- [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2019-41003,치매보험금 지급관련 유의사항 안내,보험감독국,20190711,폐지,붙임_치매보험금 지급관련 유의사항 안내_F.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2150582_20190711170035268_0.hwp&filere=%EB%B6%99%EC%9E%84_%EC%B9%98%EB%A7%A4%EB%B3%B4%ED%97%98%EA%B8%88+%EC%A7%80%EA%B8%89%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4_F.hwp,보험감독국,특수보험2팀,이강현 수석조사역,02-3145-7465,"1. 관련근거 -금융규제 운영규정 제16조

2. 「보험업법」 제127조의3(기초서류 기재사항 준수의무) 및 제128조의3(기초서류 작성변경원칙)에 따라 치매보험 보험금 지급과 관련 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.


                             - 아 래 -

- [관리번호] 감2019-41003
- [지도목적] 치매보험금 지급관련 유의사항 안내
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 보험업법 제127조의3, 제128조의3
- [내부경영사항 관련] 해당 없음

붙임 : 치매보험금 지급관련 유의사항 안내 1부. 끝.


- [폐지일자] 2024.08.30
- [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2019-43001,운전자보험 상품 운영시 유의사항 안내,보험사기대응단,20190603,폐지,(생명보험조사팀-1401)운전자보험 상품 운영시 유의사항 안내.pdf,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2220753_20220426151428672_0.pdf&filere=%28%EC%83%9D%EB%AA%85%EB%B3%B4%ED%97%98%EC%A1%B0%EC%82%AC%ED%8C%80-1401%29%EC%9A%B4%EC%A0%84%EC%9E%90%EB%B3%B4%ED%97%98+%EC%83%81%ED%92%88+%EC%9A%B4%EC%98%81%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.pdf,보험사기대응단,보험조사팀,권철건 선임조사역,02-3145-8755,"1. '18.12.06. 우리원이 시행한「운전자보험 상품 운영시 유의사항 안내(생명보험조사팀-1401)」공문 관련입니다.

2. 동 문서를「금융규제 운영규정」제16조에 따라 아래와 같이 감독행정으로 등록하오니 관련 업무 수행에 만전을 기해주시기 바랍니다.


 - 아 래 -            

  - [관리번호] 감2019-43001
  - [지도목적] 보험사기행위 예방 및 보험리스크 관리 강화
  - [지도내용] ‘18.12.06. 시행공문(생명보험조사팀-1401) 참조
  - [유효기간] 해당사항 없음
  - [관련법령] 금융회사 지배구조 감독규정 별표3(내부통제기준에 포함해야 하는 사항) 2. 해당 금융회사가 보험회사인 경우 라. 보험사기행위 예방 및 보험리스크 관리를 위해 계약심사시 따라야 할 절차와 기준
  - [내부경영사항 관련] 해당 없음


한편 '18.12.06. 시행된「운전자보험 상품 운영시 유의사항 안내」는 본 공문으로 대체됩니다.

[폐지일자] 2024.04.24.
[폐지사유] 「보험사기 예방 모범규준」이 개정(2023.05.10.)됨에 따른 근거규정 삭제.  끝."
감2019-31001,휴면성 증권투자재산 주인 찾아주기 실시 등 안내,자본시장감독국,20190517,폐지,휴면성 증권투자재산 주인 찾아주기 실시 등 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2170461_20190517144629312_0.hwp&filere=%ED%9C%B4%EB%A9%B4%EC%84%B1+%EC%A6%9D%EA%B6%8C%ED%88%AC%EC%9E%90%EC%9E%AC%EC%82%B0+%EC%A3%BC%EC%9D%B8+%EC%B0%BE%EC%95%84%EC%A3%BC%EA%B8%B0+%EC%8B%A4%EC%8B%9C+%EB%93%B1+%EC%95%88%EB%82%B4.hwp,자본시장감독국,자본시장감독국 자본시장제도팀,김민석 선임조사역,02-3145-7584,"- [관리번호] 감2019-31001
- [지도목적] 휴면성 증권투자재산 주인 찾아주기 실시 등 안내
- [지도내용] 증권회사의 '휴면성 증권계좌 및 실기주과실의 주인 찾아주기 캠페인' 참여 독려 및 금융회사 지배구조 감독규정에 의한 내부통제 점검시 '휴면성 증권계좌 등에 대한 관리실태' 중점 점검 당부
- [관련규정] 금융회사 지배구조 감독규정 제11조 제5항"
감2019-41002,치매보험 안내자료 작성 관련 유의사항 안내,보험감독국,20190409,폐지,붙임 치매보험 안내자료 작성 관련 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2130074_20190408171321362_0.hwp&filere=%EB%B6%99%EC%9E%84+%EC%B9%98%EB%A7%A4%EB%B3%B4%ED%97%98+%EC%95%88%EB%82%B4%EC%9E%90%EB%A3%8C+%EC%9E%91%EC%84%B1+%EA%B4%80%EB%A0%A8+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,보험감독국 특수보험2팀,나예린 선임검사역,02-3145-7465,"1. 관련근거 -금융규제 운영규정 제16조

2. 「보험업법」 제95조(보험안내자료) 등에 따라 치매보험 안내자료 작성과 관련 붙임을 참고하여 업무 수행시 유의하여 주시기 바랍니다.


                             - 아 래 -

- [관리번호] 감2019-41002
- [지도목적] 치매보험 안내자료 작성 관련 업무 개선
- [지도내용] 붙임 참조
- [유효기간] 해당사항 없음
- [관련법령] 보험업법 제95조
- [내부경영사항 관련] 해당 없음

붙임 : 치매보험 안내자료 작성 관련 유의사항 안내 1부.


- [폐지일자] 2024.08.30
- [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
감2019-41001,갑상선고주파절제술에 대한 수술보험금 지급시 유의사항 안내,보험감독국,20190401,폐지,갑상선고주파절제술에 대한 수술보험금 지급시 유의사항 안내.hwp,https://www.fss.or.kr/fss.hpdownload?path=/law/ptl/&file=2131226_20190401125740368_0.hwp&filere=%EA%B0%91%EC%83%81%EC%84%A0%EA%B3%A0%EC%A3%BC%ED%8C%8C%EC%A0%88%EC%A0%9C%EC%88%A0%EC%97%90+%EB%8C%80%ED%95%9C+%EC%88%98%EC%88%A0%EB%B3%B4%ED%97%98%EA%B8%88+%EC%A7%80%EA%B8%89%EC%8B%9C+%EC%9C%A0%EC%9D%98%EC%82%AC%ED%95%AD+%EC%95%88%EB%82%B4.hwp,보험감독국,특수보험2팀,최영석 팀장,02-3145-7464,"1. 관련근거 - 금융규제운영규정 제16조

                    2.「보험업법」제127조의3(기초서류 기재사항 준수의무) 등에 따라 갑상선고주파절제술에 대한 수술보험금 지급이 누락되지 않도록 관련업무 수행에 만전을 기하여 주시기 바랍니다.

붙임 : 갑상선고주파절제술에 대한 수술보험금 지급시 유의사항 안내 1부. 끝.


            - 아 래 -           

  - [관리번호] 감2019-41001
  - [감독행정목적] 갑상선 고주파절제술에 대한 수술보험금 지급시 유의사항 안내
  - [감독행정내용] 붙임참조
  - [관련법령] 보험업법 제127조의3
  - [내부경영사항 관련] 해당 없음

  - [폐지일자] 2024.08.30
  - [폐지사유] 감독행정 이행 완료에 따른 폐지. 끝."
